m,n,k,time (s),gigapixels per second
1024,768,3,0.000212,3.708406
1024,768,5,0.000324,2.423843
1024,768,7,0.000463,1.699102
1024,768,9,0.000913,0.861542
1024,768,11,0.000000,262144.000000
1024,768,13,0.000000,299023.574144
1024,768,15,0.000000,291271.111111
2048,2048,3,0.001002,4.186224
2048,2048,5,0.001671,2.509495
2048,2048,7,0.002440,1.719115
2048,2048,9,0.004906,0.854953
2048,2048,11,0.000000,1366222.801303
2048,2048,13,0.000000,1582756.226415
2048,2048,15,0.000000,1600879.389313
8192,8192,3,0.018259,3.675291
8192,8192,5,0.028978,2.315818
8192,8192,7,0.040938,1.639283
8192,8192,9,0.078943,0.850097
8192,8192,11,0.000000,17895697.066667
8192,8192,13,0.000000,25134405.992509
8192,8192,15,0.000000,21169988.643533
4194304,768,3,1.024401,3.144495
4194304,768,5,1.346587,2.392140
4194304,768,7,1.980664,1.626336
4194304,768,9,4.117145,0.782393
4194304,768,11,0.000000,544125924.324324
4194304,768,13,0.000000,1167110678.260870
4194304,768,15,0.000000,1184274070.588235
16777216,768,3,3.875387,3.324804
16777216,768,5,5.804447,2.219833
16777216,768,7,8.590596,1.499885
